Job Role,Skills
Data Scientist,"Python, Pandas, NumPy, Machine Learning, SQL, Statistics"
Web Developer,"HTML, CSS, JavaScript, React, Git, Node.js"
Product Manager,"Agile, Roadmapping, Market Research, Communication, JIRA"
AI Engineer,"Deep Learning, PyTorch, TensorFlow, NLP, Python"
UI/UX Designer,"Figma, Wireframing, Usability Testing, Adobe XD, Prototyping"
DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux"
Business Analyst,"Excel, SQL, Tableau, Data Analysis, Communication"
Mobile App Developer,"Flutter, Dart, React Native, Android, iOS"
Cybersecurity Analyst,"Network Security, Risk Assessment, Python, Penetration Testing, Firewalls"
Cloud Architect,"AWS, Azure, GCP, Cloud Infrastructure, Terraform"
